1;Frontend;Создание кода и разметки, ответственных за визуальный дизайн веб-сайта.;;False
2;Backend;Программная часть приложения, которая отвечает за обработку и сохранение информации, переданной через интерфейс.;;False
3;Кроссбраузерность;Свойство сайта, с помощью которого страницы сайта одинаково отображаются в различных браузерах.;;False
4;Вёрстка веб-страниц;Создание структуры гипертекстового документа на основе HTML-разметки, как правило, при использовании таблиц стилей и клиентских сценариев, таким образом, чтобы элементы дизайна выглядели аналогично макету.;"""Тим Бернерс-Ли, работая в Европейском институте физики частиц придумал язык, который концентрировался не на средствах оформления, а на логике разметки текста.";False
5;Header (шапка);Блок в верхней части страницы сайта, который виден на всех страницах сайта.;;False
6;Footer (подвал);Блок в нижней части страницы, противоположен хедеру.;;False
7;Bootstrap;Свободный набор инструментов для создания сайтов и веб-приложений.;"""Эта библиотека начала разрабатываться как внутренняя библиотека компании Twitter под названием Twitter Blueprint. После нескольких месяцев разработки он был открыт под названием Bootstrap 19 августа 2011 года.";False
8;Ajax;Подход к построению интерактивных пользовательских интерфейсов веб-приложений, заключающийся в «фоновом» обмене данными браузера с веб-сервером. В результате при обновлении данных веб-страница не перезагружается полностью, и веб-приложения становятся быстрее и удобнее. По-русски иногда произносится транслитом как «аякс».;"""Впервые термин AJAX был публично использован 18 февраля 2005 года Джесси Джеймсом Гарреттом в своей статье «Новый подход к веб-приложениям» — так он назвал новый набор технологий, предлагавшийся им клиенту.";False
9;Backup;Процесс создания копии данных на носителе (жёстком диске и т.д.), предназначенном для восстановления данных в оригинальном или новом месте их расположения в случае их повреждения или разрушения.;;False
10;CMS;Информационная система или компьютерная программа, используемая для обеспечения и организации совместного процесса создания, редактирования и управления содержимым, иначе — контентом (от англ. content).;;False
11;Bitrix;Система управления контентом веб-проекта (CMS) от российской компании «Битрикс».;"""«1С-Битрикс: Управление сайтом» позволяет создавать:";False
12;WordPress;"Свободно распространяемая система управления содержимым сайта с открытым исходным кодом; написана на PHP; сервер базы данных — MySQL; выпущена под лицензией GNU GPL версии 2.";"""12 июня 2001 года Мишель Вальдриги начал разработку движка b2, впоследствии к проекту присоединились Мэтт Мюлленвег и Майк Литтл. В январе 2003 года Вальдриги прекратил разработку, поэтому автором WordPress считается Мэтт Мюлленвег. Права на товарную марку «WordPress» принадлежат некоммерческому фонду WordPress Foundation.";False
13;MODX;Система управления содержимым с открытым исходным кодом и открытой лицензией. Написана на языке программирования PHP, использует для хранения данных СУБД MySQL или MS SQL.;"""Разработчики Рэймонд Ирвинг (англ. Raymond Irving) и Райан Траш (англ. Ryan Thrash) начали работу над проектом MODX CMS в 2004 году.";False
14;Cookie;Текстовый файл с данными (информация о логине и пароле, статистика посещений и т.д), который записывается в браузер сервером посещаемого вами сайта. ;;False
15;DNS;Сетевой сервис, позволяющий преобразовывать буквенное название домена в IP-адрес и наоборот.;;False
16;Favicon;Небольшая иконка сайта, отображаемая перед названием страницы во вкладке браузера, закладках, в сниппетах результатов органической выдачи.;;False
17;FTP;Сервер, работающий по File Transfer Protocol (протоколу передачи файлов).;;False
18;HTML;Стандартизированный язык гипертекстовой разметки документов для просмотра веб-страниц в браузере.;Язык гипертекстовой разметки HTML был разработан британским учёным Тимом Бернерсом-Ли приблизительно в 1986—1991 годах в стенах ЦЕРНа в Женеве в Швейцарии. HTML создавался как язык для обмена научной и технической документацией, пригодный для использования людьми, не являющимися специалистами в области вёрстки. HTML успешно справлялся с проблемой сложности SGML путём определения небольшого набора структурных и семантических элементов — дескрипторов. Дескрипторы также часто называют «тегами». С помощью HTML можно легко создать относительно простой, но красиво оформленный документ. Помимо упрощения структуры документа, в HTML внесена поддержка гипертекста. Мультимедийные возможности были добавлены позже.;False
19;CSS;Формальный язык описания внешнего вида документа (веб-страницы), написанного с использованием языка разметки (чаще всего HTML или XHTML). Также может применяться к любым XML-документам, например, к SVG или XUL.;"""CSS — одна из широкого спектра технологий, одобренных консорциумом W3C и получивших общее название «стандарты Web». В 1990-х годах стала ясна необходимость стандартизировать Web, создать какие-то единые правила, по которым программисты и веб-дизайнеры проектировали бы сайты. Так появились языки HTML 4.01 и XHTML, и стандарт CSS.";False
20;Framework;"Программная платформа, определяющая структуру программной системы; программное обеспечение, облегчающее разработку и объединение разных компонентов большого программного проекта.";Программисты могут выборочно изменять поведение такого кода и добавлять свой в зависимости от бизнес-логики конечного приложения. Программный фреймворк представляет стандартный путь сборки и разворачивания прложений. В нем уже решены вопросы построения и сборки приложений и продуктов. При использовании фреймворков программисты не пишут абсолютно весь код самостоятельно. Вместо этого они используют уже готовые решения, которые предлагает фреймворк. Основные проблемы, которые решают фреймворки это увеличение продуктивности разработчиков, качества кода, читаемости и единообразия кодовой базы. К тому же, знание фреймворков для некоторых вакансий является важнейшим требованием.;False
21;Алгоритм;Набор инструкций или правил, предназначенных для решения определенной проблемы. Проблема может быть простой, как добавление двух чисел или сложное, например, преобразование видеофайла из одного формата в другой.;;False
22;Программа;Организованный набор инструкций, который выполняет определенную задачу или функцию. Программа обрабатывается центральным процессором (ЦП) компьютера перед ее выполнением.;;False
23;Аргумент;Значение, которое передается в команду или функцию.;;False
24;IP-адрес;Уникальный адрес в сети, необходимый для нахождения, передачи и получения информации от одного компьютера (узла) к другому.;;False
25;XML;Язык разметки, который напоминает HTML и предназначен для передачи данных.;XML рекомендован Консорциумом Всемирной паутины (W3C) и разработан ими. Спецификация XML описывает XML-документы и частично описывает поведение XML-процессоров (программ, читающих XML-документы и обеспечивающих доступ к их содержимому). XML разрабатывался как язык с простым формальным синтаксисом, удобный для создания и обработки документов как программами, так и человеком, с акцентом на использование в Интернете.;False
26;Блог;Веб-сайт, основное содержимое которого — регулярно добавляемые пользователем записи, содержащие текст, изображения или мультимедиа.;Термин «блог» был придуман Йорном Баргером 17 декабря 1997 года. Короткую форму слова «блог» придумал Питер Мерхольц, который в шуточной форме использовал в своём блоге Peterme.com в апреле или мае 1999 года. Эван Уильямс из Pyra Labs использовал «блог» как существительное и глагол (англ. «to blog», что означает «изменить свой блог или отправить на свой блог»), что привело к созданию термина «блогер». В Pyra Labs был создан Blogger.com, что привело к популяризации блогерства.;False
27;Сайт-визитка;Виртуальная визитная карточка - небольшой сайт с информацией, который позволяет получить представление о деятельности компании.;;False
28;Интернет-магазин;Сайт, торгующий товарами посредством сети Интернет. Позволяет пользователям онлайн, в своём браузере или через мобильное приложение, сформировать заказ на покупку, выбрать способ оплаты и доставки заказа, оплатить заказ.;В 1992 году Чарльз Стэк основал первый интернет-магазин books.comruen по продаже книг. В 1994 году появился интернет-магазин Amazon. В XXI веке интернет-торговля бурно развивается. Большую роль в этом сыграла пандемия COVID-19.;False
29;Целевая страница;Веб-страница, основной задачей которой является сбор контактных данных целевой аудитории.;Целевая страница используется для усиления эффективности рекламы, увеличения аудитории. Целевая страница обычно содержит информацию о товаре или услуге. Переход на целевые страницы часто осуществляется из социальных медиа, email-рассылок и рекламных кампаний в поисковых системах. Главной задачей таких страниц является конвертация посетителя в покупателя или клиента компании, побуждение к целевому действию. Анализ действий пользователей на целевой странице позволяет маркетологам определить успешность рекламы.;False
30;Гиперссылка;Элемент веб-страницы, при нажатии на который происходит переход на другой адрес, который может располагаться как на том же самом сайте, так и на другом.;;False
31;Динамическая веб-страница;Веб-страница, генерируемая или видоизменяемая в процессе исполнения запроса пользователя.;;False
32;Интерфейс;Набор инструментов для взаимодействия человека и компьютерной системы.;;False
33;Кэш;Хранилище быстрого доступа в памяти компьютера, которое создаётся и используется программой с целью ускорить свою работу.;;False
34;Веб-сервер;Компьютер, который хранит файлы сайта (HTML-документы, CSS-стили, JavaScript-файлы, картинки и др.) и доставляет их на устройство конечного пользователя (веб-браузер и т.д.).;;False
35;Базы данных;Организованная структура, предназначенная для хранения, изменения и обработки взаимосвязанной информации, преимущественно больших объемов.;;False
36;MySQL;Свободная реляционная система управления базами данных.;MySQL возникла как попытка применить mSQL к собственным разработкам компании: таблицам, для которых использовались ISAM — подпрограммы низкого уровня. В результате был выработан новый SQL-интерфейс, но API-интерфейс остался в наследство от mSQL. Откуда происходит название «MySQL» — доподлинно неизвестно. Разработчики дают два варианта: либо потому, что практически все наработки компании начинались с префикса «My…» (с англ.?—?«моё…»), либо в честь дочери Мю (фин. My) одного из разработчиков системы Микаэля Видениуса.;False
37;Скрипт;Небольшая программа, исполняющаяся на стороне сервера и написанная на специальном языке сценариев или в браузере пользователя.;;False
38;Хостинг;Услуга по предоставлению ресурсов для размещения информации на сервере, постоянно имеющем доступ к сети (обычно Интернет).;;False
39;Редизайн;Совершенствование внешнего вида (оформления) сайта.;;False
40;Дэдлайн;Самый крайний срок (обычно дата) выполнения какой-либо одной задачи или целого проекта.;;False
41;URL;Адрес страницы в интернете, состоящий из доменного имени, пути к странице на сайте и имени файла страницы.;;False
